projectId,isOn,trustProductName,proectIssueCode,trustCompanyName,trustCompanyShortName,trustTremType,trustPropertyApplicationDesc,trustPropertyManagementDesc,issueCodeDate,publicityTime,registrationTime
5334,1,华信华冠133号集合资金信托计划,ZXD40H201710010014534,华信信托股份有限公司,华信信托,12,金融业,信托贷款,2017-10-20,2017-11-28,2017-11-23
5333,1,华信华冠132号集合资金信托计划,ZXD40H201710010014525,华信信托股份有限公司,华信信托,12,金融业,特定资产及其收（受）益权附回购,2017-10-20,2017-11-28,2017-11-23
5124,1,云南信托会泽152号维信金科集合资金信托计划,ZXD32Y201710010012457,云南国际信托有限公司,云南信托,18,金融业,其他债权资产,2017-10-19,2017-11-28,2017-11-22
4654,1,华润信托·明达价值风险缓冲集合资金信托计划,ZXD38H201710010007815,华润深国投信托有限公司,华润信托,24,金融业,股票投资,2017-10-16,2017-11-28,2017-11-21
4525,1,华润信托·明达价值风险缓冲尊享B期集合资金信托计划,ZXD38H201710010006546,华润深国投信托有限公司,华润信托,24,金融业,股票投资,2017-10-13,2017-11-28,2017-11-21
5054,1,万向信托--五谷丰登40号事务管理类集合资金信托计划,ZXD31W201710110011775,万向信托有限公司,万向信托,12.1,房地产业,信托贷款,2017-10-18,2017-11-09,2017-11-03
4786,1,华润信托·鼎新172号集合资金信托计划,ZXD38H201710010009100,华润深国投信托有限公司,华润信托,24,租赁和商务服务业,信托贷款,2017-10-17,2017-11-14,2017-11-07
4595,1,华润信托·润熠第三期信贷资产财产权信托,ZXD38H201710111007228,华润深国投信托有限公司,华润信托,58,金融业,资产收益权（不附回购）,2017-10-16,2017-11-09,2017-10-31
4494,1,光大信托-金阳光47号财产权信托,ZXD31G201710011006236,光大兴陇信托有限责任公司,光大信托,24,水利、环境和公共设施管理业,其他债权资产,2017-10-13,2017-11-09,2017-10-24
3540,1,紫金信托·恒居33号集合资金信托计划,ZXD46Z201709010033503,紫金信托有限责任公司,紫金信托,18.1,房地产业,信托贷款,2017-09-28,2017-11-09,2017-11-02
2396,1,光大信托-广州承兴25号应收账款集合资金信托计划,ZXD31G201709110022122,光大兴陇信托有限责任公司,光大信托,12,租赁和商务服务业,特定资产及其收（受）益权附回购,2017-09-21,2017-11-14,2017-10-19
895,1,上信禹洲中央城债权投资集合资金信托计划,ZXD35S201709010007241,上海国际信托有限公司,上海信托,18,房地产业,其他债权资产,2017-09-12,2017-11-09,2017-11-01
744,1,交银国信·集通1号集合资金信托计划,ZXD34J20170911000573X,交银国际信托有限公司,交银信托,24,"信息传输、软件和信息技术服务业,教育",信托贷款,2017-09-11,2017-10-25,2017-10-09
341,1,交银国信·集通105号集合资金信托计划,ZXD34J201709010001752,交银国际信托有限公司,交银信托,36,卫生和社会工作业,信托贷款,2017-09-05,2017-10-25,2017-10-18
300,1,兴业信托·格律诗97号集合资金信托计划,ZXD36X201709010001340,兴业国际信托有限公司,兴业信托,12,房地产业,长期股权投资,2017-09-05,2017-11-09,2017-10-16
5019,1,云南信托-盈辉20号集合资金信托计划,ZXD32Y201710010011420,云南国际信托有限公司,云南信托,30.1,金融业,其他债权资产,2017-10-18,2017-11-09,2017-10-30
4898,1,华鑫信托·鑫华11号财产权信托,ZXD39H201710111010222,华鑫国际信托有限公司,华鑫信托,12,金融业,其他债权资产,2017-10-17,2017-11-09,2017-10-25
4847,1,华润信托·睿致97号集合资金信托计划,ZXD38H201710010009714,华润深国投信托有限公司,华润信托,120,"金融业,其他",债券投资,2017-10-17,2017-11-09,2017-11-01
4750,1,湖南信托·南阳3号集合资金信托计划,ZXD32H201710010008766,湖南省信托有限责任公司,湖南信托,24,金融业,股票投资,2017-10-16,2017-11-09,2017-10-27
3549,1,安信创赢133号·中电集团投资集合资金信托计划,ZXD32A201709010033598,安信信托股份有限公司,安信信托,30.1,建筑业,"信托贷款,长期股权投资",2017-09-28,2017-11-09,2017-11-03
3070,1,万向信托--五谷丰登37号事务管理类集合资金信托计划,ZXD31W201709110028833,万向信托有限公司,万向信托,12,建筑业,信托贷款,2017-09-26,2017-11-09,2017-11-03
5217,1,江苏信托睿质13号集合资金信托计划,ZXD33J201710110013388,江苏省国际信托有限责任公司,江苏信托,12,住宿和餐饮业,特定资产及其收（受）益权附回购,2017-10-19,2017-11-08,2017-11-03
2311,1,中航信托·天翼系列债券投资集合资金信托计划第162期信托单位,ZXD37Z201709010021272,中航信托股份有限公司,中航信托,12,金融业,资产收益权（不附回购）,2017-09-21,2017-11-09,2017-10-19
